Query	KO_ID	KO_name,KO_definition	Hyperlink	Paths
LOC127969657	K06234	RAB23; Ras-related protein Rab-23	http://www.genome.jp/dbget-bin/www_bget?ko:K06234	_
LOC127969709	K09095	HIF2A, EPAS1; hypoxia-inducible factor 2 alpha	http://www.genome.jp/dbget-bin/www_bget?ko:K09095	ko05200;ko05211
LOC127969714	K11423	SETD2; [histone H3]-lysine36 N-trimethyltransferase [EC:2.1.1.359]	http://www.genome.jp/dbget-bin/www_bget?ko:K11423	ko00310;ko01100
LOC127969715	K01507	ppa; inorganic pyrophosphatase [EC:3.6.1.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K01507	ko00190
LOC127969716	K16821	FRMD1; FERM domain-containing protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K16821	ko04390;ko04392
LOC127969717	K06746	B7H3, CD276; immune costimulatory protein B7-H3	http://www.genome.jp/dbget-bin/www_bget?ko:K06746	ko04514
LOC127969725	K16501	CDHR1, PCDH21; cadherin-related family member 1	http://www.genome.jp/dbget-bin/www_bget?ko:K16501	_
LOC127969726	K09191	GTF3A; general transcription factor IIIA	http://www.genome.jp/dbget-bin/www_bget?ko:K09191	_
LOC127969734	K23284	C1QL; C1q-related factor	http://www.genome.jp/dbget-bin/www_bget?ko:K23284	_
LOC127969735	K17770	TOM20; mitochondrial import receptor subunit TOM20	http://www.genome.jp/dbget-bin/www_bget?ko:K17770	_
LOC127969751	K15128	MED6; mediator of RNA polymerase II transcription subunit 6	http://www.genome.jp/dbget-bin/www_bget?ko:K15128	_
LOC127969752	K24930	TTC9; tetratricopeptide repeat protein 9	http://www.genome.jp/dbget-bin/www_bget?ko:K24930	_
LOC127969759	K22766	FIGNL1; fidgetin-like protein 1 [EC:5.6.2.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K22766	_
LOC127969760	K09220	IKZF, ZNFN1A; IKAROS family zinc finger protein	http://www.genome.jp/dbget-bin/www_bget?ko:K09220	_
LOC127969761	K24521	VWC2; brorin	http://www.genome.jp/dbget-bin/www_bget?ko:K24521	_
LOC127969764	K24506	VIT; vitrin	http://www.genome.jp/dbget-bin/www_bget?ko:K24506	_
LOC127969766	K22074	NFU1, HIRIP5; NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	http://www.genome.jp/dbget-bin/www_bget?ko:K22074	_
LOC127969768	K04469	NFKB2; nuclear factor of kappa light polypeptide gene enhancer in B-cells 2	http://www.genome.jp/dbget-bin/www_bget?ko:K04469	ko04010;ko04064;ko04380;ko04625;ko05134;ko05166;ko05169;ko05200;ko05203;ko05224
LOC127969770	K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	http://www.genome.jp/dbget-bin/www_bget?ko:K00261	ko00220;ko00250;ko00910;ko01100;ko01120;ko01200;ko04217;ko04964
LOC127969787	K22154	DACT; dapper	http://www.genome.jp/dbget-bin/www_bget?ko:K22154	_
LOC127969788	K17287	TC2N; tandem C2 domains nuclear protein	http://www.genome.jp/dbget-bin/www_bget?ko:K17287	_
LOC127969790	K19328	SYT14_16; synaptotagmin-14/16	http://www.genome.jp/dbget-bin/www_bget?ko:K19328	_
LOC127969795	K24491	LRIT; leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein	http://www.genome.jp/dbget-bin/www_bget?ko:K24491	_
LOC127969796	K04373	RPS6KA; ribosomal protein S6 kinase alpha-1/2/3/6 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04373	ko04010;ko04114;ko04150;ko04714;ko04720;ko04722;ko04914;ko04931;ko05135;ko05207
LOC127969797	K23318	GREM; gremlin	http://www.genome.jp/dbget-bin/www_bget?ko:K23318	ko04350
LOC127969799	K18184	COX20; cytochrome c oxidase assembly protein subunit 20	http://www.genome.jp/dbget-bin/www_bget?ko:K18184	ko04714
LOC127969800	K10292	FBXO5, EMI1; F-box protein 5	http://www.genome.jp/dbget-bin/www_bget?ko:K10292	ko04110;ko04114
LOC127969802	K23903	SYNDIG1; synapse differentiation-inducing gene protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K23903	_
LOC127969806	K13711	PI4K2; phosphatidylinositol 4-kinase type 2 [EC:2.7.1.67]	http://www.genome.jp/dbget-bin/www_bget?ko:K13711	ko00562;ko01100;ko04070
LOC127969808	K11424	WHSC1, MMSET, NSD2; [histone H3]-lysine36 N-dimethyltransferase NSD2 [EC:2.1.1.357]	http://www.genome.jp/dbget-bin/www_bget?ko:K11424	ko00310;ko01100;ko05202
LOC127969813	K07603	COL17A, BP180; collagen type XVII alpha	http://www.genome.jp/dbget-bin/www_bget?ko:K07603	ko04974
LOC127969815	K14165	K14165; atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]	http://www.genome.jp/dbget-bin/www_bget?ko:K14165	_
LOC127969826	K18466	VPS26A_B; vacuolar protein sorting-associated protein 26A/B	http://www.genome.jp/dbget-bin/www_bget?ko:K18466	ko04144
LOC127969827	K06849	PGSG; proteoglycan peptide core protein	http://www.genome.jp/dbget-bin/www_bget?ko:K06849	_
LOC127969839	K17343	PRPH2, TSPAN22; peripherin-2	http://www.genome.jp/dbget-bin/www_bget?ko:K17343	_
LOC127969851	K15420	EML4; echinoderm microtubule-associated protein-like 4	http://www.genome.jp/dbget-bin/www_bget?ko:K15420	ko05200;ko05223;ko05235
LOC127969855	K22614	NLRC3, NOD3; NLR family CARD domain-containing protein 3	http://www.genome.jp/dbget-bin/www_bget?ko:K22614	_
LOC127969856	K10160	TLR4, CD284; toll-like receptor 4	http://www.genome.jp/dbget-bin/www_bget?ko:K10160	ko04064;ko04066;ko04145;ko04151;ko04217;ko04613;ko04620;ko04621;ko04936;ko05130;ko05131;ko05132;ko05133;ko05134;ko05135;ko05140;ko05142;ko05144;ko05145;ko05146;ko05152;ko05161;ko05162;ko05164;ko05170;ko05171;ko05205;ko05235;ko05321;ko05323;ko05417
LOC127969858	K12006	TRIM16; tripartite motif-containing protein 16	http://www.genome.jp/dbget-bin/www_bget?ko:K12006	_
LOC127969859	K10160	TLR4, CD284; toll-like receptor 4	http://www.genome.jp/dbget-bin/www_bget?ko:K10160	ko04064;ko04066;ko04145;ko04151;ko04217;ko04613;ko04620;ko04621;ko04936;ko05130;ko05131;ko05132;ko05133;ko05134;ko05135;ko05140;ko05142;ko05144;ko05145;ko05146;ko05152;ko05161;ko05162;ko05164;ko05170;ko05171;ko05205;ko05235;ko05321;ko05323;ko05417
LOC127969860	K10160	TLR4, CD284; toll-like receptor 4	http://www.genome.jp/dbget-bin/www_bget?ko:K10160	ko04064;ko04066;ko04145;ko04151;ko04217;ko04613;ko04620;ko04621;ko04936;ko05130;ko05131;ko05132;ko05133;ko05134;ko05135;ko05140;ko05142;ko05144;ko05145;ko05146;ko05152;ko05161;ko05162;ko05164;ko05170;ko05171;ko05205;ko05235;ko05321;ko05323;ko05417
LOC127969869	K16488	SDCCAG8; serologically defined colon cancer antigen 8	http://www.genome.jp/dbget-bin/www_bget?ko:K16488	_
LOC127969870	K04456	AKT; RAC serine/threonine-protein kinase [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K04456	ko01521;ko01522;ko01524;ko04010;ko04012;ko04014;ko04015;ko04022;ko04024;ko04062;ko04066;ko04068;ko04071;ko04072;ko04140;ko04150;ko04151;ko04152;ko04210;ko04211;ko04212;ko04213;ko04218;ko04261;ko04370;ko04371;ko04380;ko04510;ko04550;ko04611;ko04613;ko04620;ko04625;ko04630;ko04660;ko04662;ko04664;ko04666;ko04668;ko04722;ko04725;ko04728;ko04810;ko04910;ko04914;ko04915;ko04917;ko04919;ko04920;ko04922;ko04923;ko04926;ko04929;ko04931;ko04932;ko04933;ko04935;ko04936;ko04973;ko05010;ko05017;ko05131;ko05132;ko05135;ko05142;ko05145;ko05152;ko05160;ko05161;ko05162;ko05163;ko05164;ko05165;ko05166;ko05167;ko05168;ko05169;ko05170;ko05200;ko05205;ko05207;ko05208;ko05210;ko05211;ko05212;ko05213;ko05214;ko05215;ko05218;ko05220;ko05221;ko05222;ko05223;ko05224;ko05225;ko05226;ko05230;ko05231;ko05235;ko05415;ko05417;ko05418
LOC127969873	K08146	SLC2A9, GLUT9; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 9	http://www.genome.jp/dbget-bin/www_bget?ko:K08146	_
LOC127969875	K19472	SIX2; homeobox protein SIX2	http://www.genome.jp/dbget-bin/www_bget?ko:K19472	_
LOC127969876	K09341	MSX; homeobox protein MSX	http://www.genome.jp/dbget-bin/www_bget?ko:K09341	ko05166
LOC127969878	K24456	KY; kyphoscoliosis peptidase [EC:3.4.-.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K24456	_
LOC127969881	K10626	UBR2; E3 ubiquitin-protein ligase UBR2 [EC:2.3.2.27]	http://www.genome.jp/dbget-bin/www_bget?ko:K10626	_
LOC127969882	K16498	PCDHD1; protocadherin delta 1	http://www.genome.jp/dbget-bin/www_bget?ko:K16498	_
LOC127969884	K14945	QKI; protein quaking	http://www.genome.jp/dbget-bin/www_bget?ko:K14945	_
LOC127969892	K24462	DLK2, EGFL9; protein delta homolog 2	http://www.genome.jp/dbget-bin/www_bget?ko:K24462	_
LOC127969898	K23855	KCNIP; Kv channel-interacting protein	http://www.genome.jp/dbget-bin/www_bget?ko:K23855	_
LOC127969903	K01367	CAPN1; calpain-1 [EC:3.4.22.52]	http://www.genome.jp/dbget-bin/www_bget?ko:K01367	ko04141;ko04210;ko04217;ko04218;ko05010;ko05022;ko05131
LOC127969905	K04358	FGF; fibroblast growth factor	http://www.genome.jp/dbget-bin/www_bget?ko:K04358	ko04010;ko04014;ko04015;ko04020;ko04151;ko04810;ko05200;ko05207;ko05218;ko05224;ko05226
LOC127969910	K13051	ASRGL1, iaaA; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]	http://www.genome.jp/dbget-bin/www_bget?ko:K13051	ko00250;ko00460;ko01100;ko01110
LOC127969914	K23502	SFXN4; sideroflexin-4	http://www.genome.jp/dbget-bin/www_bget?ko:K23502	_
LOC127969915	K19473	SIX3_6, OPTIX; homeobox protein SIX3/6	http://www.genome.jp/dbget-bin/www_bget?ko:K19473	_
LOC127969918	K01476	E3.5.3.1, rocF, arg; arginase [EC:3.5.3.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K01476	ko00220;ko00330;ko01100;ko01110;ko01230;ko05146
LOC127969919	K08493	VTI1; vesicle transport through interaction with t-SNAREs 1	http://www.genome.jp/dbget-bin/www_bget?ko:K08493	ko04130;ko04138
LOC127969921	K13097	TET1; methylcytosine dioxygenase [EC:1.14.11.80]	http://www.genome.jp/dbget-bin/www_bget?ko:K13097	_
LOC127969922	K21846	TMEM150; transmembrane protein 150	http://www.genome.jp/dbget-bin/www_bget?ko:K21846	_
LOC127969923	K03259	EIF4E; translation initiation factor 4E	http://www.genome.jp/dbget-bin/www_bget?ko:K03259	ko01521;ko04066;ko04150;ko04151;ko04211;ko04910
LOC127969928	K00623	CHAT; choline O-acetyltransferase [EC:2.3.1.6]	http://www.genome.jp/dbget-bin/www_bget?ko:K00623	ko00564;ko04725
LOC127969929	K16861	PLD5; inactive phospholipase D5	http://www.genome.jp/dbget-bin/www_bget?ko:K16861	_
LOC127969939	K04515	CAMK2; calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17]	http://www.genome.jp/dbget-bin/www_bget?ko:K04515	ko04012;ko04020;ko04024;ko04066;ko04114;ko04217;ko04261;ko04310;ko04360;ko04713;ko04720;ko04722;ko04725;ko04728;ko04740;ko04745;ko04750;ko04911;ko04912;ko04916;ko04921;ko04922;ko04925;ko04934;ko04971;ko05012;ko05022;ko05031;ko05152;ko05200;ko05205;ko05214;ko05415;ko05417
LOC127969944	K10378	BFSP1; filensin	http://www.genome.jp/dbget-bin/www_bget?ko:K10378	_
LOC127969946	K20865	NLRP12; NACHT, LRR and PYD domains-containing protein 12	http://www.genome.jp/dbget-bin/www_bget?ko:K20865	ko04621
LOC127969947	K08460	ADGRA1, GPR123; adhesion G protein-coupled receptor A1	http://www.genome.jp/dbget-bin/www_bget?ko:K08460	_
LOC127969948	K26100	PWWP2; PWWP domain-containing protein 2	http://www.genome.jp/dbget-bin/www_bget?ko:K26100	_
LOC127969950	K05189	GABRP; gamma-aminobutyric acid receptor subunit pi	http://www.genome.jp/dbget-bin/www_bget?ko:K05189	ko04080;ko04723;ko04727;ko05032;ko05033
LOC127969952	K08793	STK32, YANK; serine/threonine kinase 32 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K08793	_
LOC127969953	K01106	INPP5A; inositol polyphosphate 5-phosphatase INPP5A [EC:3.1.3.56]	http://www.genome.jp/dbget-bin/www_bget?ko:K01106	ko00562;ko01100;ko04070;ko04910
LOC127969954	K01024	HS3ST1; [heparan sulfate]-glucosamine 3-sulfotransferase 1 [EC:2.8.2.23]	http://www.genome.jp/dbget-bin/www_bget?ko:K01024	ko00534
LOC127969979	K05457	NRG3; neuregulin 3	http://www.genome.jp/dbget-bin/www_bget?ko:K05457	ko04012;ko05014
LOC127969983	K10297	FBXO11; F-box protein 11	http://www.genome.jp/dbget-bin/www_bget?ko:K10297	_
LOC127969988	K23368	TRIP11; thyroid receptor-interacting protein 11	http://www.genome.jp/dbget-bin/www_bget?ko:K23368	_
LOC127969989	K17340	FBLN5; fibulin 5	http://www.genome.jp/dbget-bin/www_bget?ko:K17340	_
LOC127969990	K25207	ZSWIM8; zinc finger SWIM domain-containing protein 8	http://www.genome.jp/dbget-bin/www_bget?ko:K25207	_
LOC127969992	K12163	ZFAND4, ANUBL1; AN1-type zinc finger protein 4	http://www.genome.jp/dbget-bin/www_bget?ko:K12163	_
LOC127969993	K10656	MARCH1_8; E3 ubiquitin-protein ligase MARCH1/8 [EC:2.3.2.27]	http://www.genome.jp/dbget-bin/www_bget?ko:K10656	_
LOC127969994	K15040	VDAC2; voltage-dependent anion channel protein 2	http://www.genome.jp/dbget-bin/www_bget?ko:K15040	ko04020;ko04022;ko04216;ko04217;ko04218;ko04613;ko04621;ko04979;ko05010;ko05012;ko05016;ko05017;ko05020;ko05022;ko05166;ko05208;ko05415
LOC127969995	K04573	NEF3, NF-M; neurofilament medium polypeptide (neurofilament 3)	http://www.genome.jp/dbget-bin/www_bget?ko:K04573	ko05014;ko05022
LOC127969999	K27893	zinc finger protein 703/503	http://www.genome.jp/dbget-bin/www_bget?ko:K27893	_
LOC127970000	K24399	LRMDA; leucine-rich melanocyte differentiation-associated protein	http://www.genome.jp/dbget-bin/www_bget?ko:K24399	_
LOC127970003	K04936	KCNMA1, KCA1.1; potassium large conductance calcium-activated channel subfamily M alpha member 1	http://www.genome.jp/dbget-bin/www_bget?ko:K04936	ko04022;ko04270;ko04911;ko04924;ko04970;ko04972
LOC127970005	K24050	DLG5; discs large protein 5	http://www.genome.jp/dbget-bin/www_bget?ko:K24050	ko04390;ko04391
LOC127970008	K06585	ITGA9; integrin alpha 9	http://www.genome.jp/dbget-bin/www_bget?ko:K06585	ko04151;ko04510;ko04512;ko04514;ko04810;ko05165;ko05410;ko05412;ko05414
LOC127970012	K15178	RTF1; RNA polymerase-associated protein RTF1	http://www.genome.jp/dbget-bin/www_bget?ko:K15178	_
LOC127970013	K26166	NUSAP1; nucleolar and spindle-associated protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K26166	_
LOC127970015	K11565	OIP5; opa-interacting protein 5	http://www.genome.jp/dbget-bin/www_bget?ko:K11565	_
LOC127970017	K14376	PAP; poly(A) polymerase [EC:2.7.7.19]	http://www.genome.jp/dbget-bin/www_bget?ko:K14376	ko03015
LOC127970019	K09254	REL; c-Rel proto-oncogene protein	http://www.genome.jp/dbget-bin/www_bget?ko:K09254	ko04014;ko04624;ko05202;ko05203
LOC127970028	K10157	B3GAT2; galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2 [EC:2.4.1.135]	http://www.genome.jp/dbget-bin/www_bget?ko:K10157	ko00515;ko01100
LOC127970030	K14282	TACC2; transforming acidic coiled-coil-containing protein 2	http://www.genome.jp/dbget-bin/www_bget?ko:K14282	_
LOC127970033	K18462	FAM21; WASH complex subunit FAM21	http://www.genome.jp/dbget-bin/www_bget?ko:K18462	ko04144
LOC127970034	K00461	ALOX5; arachidonate 5-lipoxygenase [EC:1.13.11.34]	http://www.genome.jp/dbget-bin/www_bget?ko:K00461	ko00590;ko01100;ko04664;ko04726;ko04913;ko05145
LOC127970035	K19195	ARID4B; AT-rich interactive domain-containing protein 4B	http://www.genome.jp/dbget-bin/www_bget?ko:K19195	_
LOC127970039	K17095	ANXA7_11; annexin A7/11	http://www.genome.jp/dbget-bin/www_bget?ko:K17095	ko05014
LOC127970040	K26260	LCOR; ligand-dependent corepressor	http://www.genome.jp/dbget-bin/www_bget?ko:K26260	_
LOC127970042	K06838	SLIT1; slit 1	http://www.genome.jp/dbget-bin/www_bget?ko:K06838	ko04360
LOC127970045	K10532	HGSNAT; heparan-alpha-glucosaminide N-acetyltransferase [EC:2.3.1.78]	http://www.genome.jp/dbget-bin/www_bget?ko:K10532	ko00531;ko01100;ko04142
LOC127970046	K04461	PPM1B, PP2CB; protein phosphatase 1B [EC:3.1.3.16]	http://www.genome.jp/dbget-bin/www_bget?ko:K04461	ko04010;ko04013
LOC127970047	K18826	CAMKMT; calmodulin-lysine N-methyltransferase [EC:2.1.1.60]	http://www.genome.jp/dbget-bin/www_bget?ko:K18826	ko00310;ko01100
LOC127970048	K24169	THADA, ARMC13; thyroid adenoma-associated protein	http://www.genome.jp/dbget-bin/www_bget?ko:K24169	_
LOC127970050	K15608	PAX2; paired box protein 2	http://www.genome.jp/dbget-bin/www_bget?ko:K15608	_
LOC127970053	K00714	WNT8; wingless-type MMTV integration site family, member 8	http://www.genome.jp/dbget-bin/www_bget?ko:K00714	ko04150;ko04310;ko04390;ko04550;ko04916;ko04934;ko05010;ko05022;ko05165;ko05200;ko05205;ko05217;ko05224;ko05225;ko05226
LOC127970054	K18055	HIF1AN; hypoxia-inducible factor 1-alpha inhibitor (HIF hydroxylase) [EC:1.14.11.30]	http://www.genome.jp/dbget-bin/www_bget?ko:K18055	_
LOC127970060	K06086	SORBS1, SH3D5, PONSIN, CAP; sorbin and SH3 domain containing protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K06086	ko03320;ko04520;ko04910
LOC127970062	K16195	EIF2AK2; eukaryotic translation initiation factor 2-alpha kinase 2 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K16195	ko04141;ko04217;ko05010;ko05160;ko05162;ko05164;ko05165;ko05167;ko05168;ko05169;ko05171;ko05203
LOC127970069	K14289	XPO5; exportin-5	http://www.genome.jp/dbget-bin/www_bget?ko:K14289	ko03013
LOC127970070	K19007	AGPAT5; lysophosphatidiate acyltransferase [EC:2.3.1.51]	http://www.genome.jp/dbget-bin/www_bget?ko:K19007	ko00561;ko00564;ko01100;ko01110;ko04072
LOC127970077	K16302	CNNM; metal transporter CNNM	http://www.genome.jp/dbget-bin/www_bget?ko:K16302	_
LOC127970078	K01081	E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]	http://www.genome.jp/dbget-bin/www_bget?ko:K01081	ko00230;ko00240;ko00760;ko01100;ko01110;ko01232
LOC127970080	K16617	COL13A; collagen type XIII alpha	http://www.genome.jp/dbget-bin/www_bget?ko:K16617	ko04974
LOC127970085	K22125	MYOF; myoferlin	http://www.genome.jp/dbget-bin/www_bget?ko:K22125	_
LOC127970086	K07759	PARG; poly(ADP-ribose) glycohydrolase [EC:3.2.1.143]	http://www.genome.jp/dbget-bin/www_bget?ko:K07759	ko03410
LOC127970087	K02577	NDST2; heparan sulfate N-deacetylase/N-sulfotransferase NDST2 [EC:3.5.1.- 2.8.2.8]	http://www.genome.jp/dbget-bin/www_bget?ko:K02577	ko00534;ko01100
LOC127970088	K05051	TAAR; trace amine associated receptor	http://www.genome.jp/dbget-bin/www_bget?ko:K05051	ko04080
LOC127970089	K05051	TAAR; trace amine associated receptor	http://www.genome.jp/dbget-bin/www_bget?ko:K05051	ko04080
LOC127970093	K09279	RUNX3, AML2; runt-related transcription factor 3	http://www.genome.jp/dbget-bin/www_bget?ko:K09279	ko04658;ko05169
LOC127970101	K19027	ZFYVE26; zinc finger FYVE domain-containing protein 26	http://www.genome.jp/dbget-bin/www_bget?ko:K19027	_
LOC127970104	K11153	RDH12; retinol dehydrogenase 12 [EC:1.1.1.300]	http://www.genome.jp/dbget-bin/www_bget?ko:K11153	ko00830;ko01100;ko01240
LOC127970106	K03348	APC1, ANAPC1; anaphase-promoting complex subunit 1	http://www.genome.jp/dbget-bin/www_bget?ko:K03348	ko04110;ko04111;ko04113;ko04114;ko04120;ko04914;ko05166
LOC127970107	K05264	VIP; vasoactive intestinal peptide	http://www.genome.jp/dbget-bin/www_bget?ko:K05264	ko04024;ko04080
LOC127970111	K23294	PACS2; phosphofurin acidic cluster sorting protein 2	http://www.genome.jp/dbget-bin/www_bget?ko:K23294	_
LOC127970113	K11800	DCAF5, BCRP2; DDB1- and CUL4-associated factor 5	http://www.genome.jp/dbget-bin/www_bget?ko:K11800	_
LOC127970116	K12893	SRSF4_5_6, SFRS4_5_6; serine/arginine-rich splicing factor 4/5/6	http://www.genome.jp/dbget-bin/www_bget?ko:K12893	ko03040;ko05168
LOC127970119	K22763	DESI2, PPPDE1; deubiquitinase DESI2 [EC:3.4.19.12]	http://www.genome.jp/dbget-bin/www_bget?ko:K22763	_
LOC127970124	K18182	COX16; cytochrome c oxidase assembly protein subunit 16	http://www.genome.jp/dbget-bin/www_bget?ko:K18182	ko04714
LOC127970125	K25392	CCDC88A; girdin	http://www.genome.jp/dbget-bin/www_bget?ko:K25392	_
LOC127970127	K22614	NLRC3, NOD3; NLR family CARD domain-containing protein 3	http://www.genome.jp/dbget-bin/www_bget?ko:K22614	_
LOC127970132	K00962	pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	http://www.genome.jp/dbget-bin/www_bget?ko:K00962	ko03018
LOC127970134	K20067	STON1_2; stonin-1/2	http://www.genome.jp/dbget-bin/www_bget?ko:K20067	_
LOC127970138	K11884	PNO1, DIM2; RNA-binding protein PNO1	http://www.genome.jp/dbget-bin/www_bget?ko:K11884	_
LOC127970140	K06268	PPP3R, CNB; serine/threonine-protein phosphatase 2B regulatory subunit	http://www.genome.jp/dbget-bin/www_bget?ko:K06268	ko04010;ko04020;ko04022;ko04114;ko04218;ko04310;ko04360;ko04370;ko04380;ko04625;ko04650;ko04658;ko04659;ko04660;ko04662;ko04720;ko04724;ko04921;ko04922;ko04924;ko05010;ko05014;ko05020;ko05022;ko05031;ko05152;ko05163;ko05166;ko05167;ko05170;ko05235;ko05417
LOC127970146	K17388	ROCK2; Rho-associated protein kinase 2 [EC:2.7.11.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K17388	ko04022;ko04024;ko04062;ko04071;ko04270;ko04310;ko04360;ko04510;ko04520;ko04530;ko04611;ko04670;ko04810;ko04921;ko05130;ko05131;ko05132;ko05135;ko05163;ko05200;ko05205;ko05417
LOC127970149	K21843	TTC7; tetratricopeptide repeat protein 7	http://www.genome.jp/dbget-bin/www_bget?ko:K21843	_
LOC127970150	K20364	MCFD2; multiple coagulation factor deficiency protein 2	http://www.genome.jp/dbget-bin/www_bget?ko:K20364	_
LOC127970151	K09327	PROP1; homeobox protein prophet of Pit-1	http://www.genome.jp/dbget-bin/www_bget?ko:K09327	_
LOC127970153	K23687	RIN2_3; Ras and Rab interactor 2/3	http://www.genome.jp/dbget-bin/www_bget?ko:K23687	_
LOC127970156	K25424	DNAAF9; dynein axonemal assembly factor 9	http://www.genome.jp/dbget-bin/www_bget?ko:K25424	_
LOC127970157	K10407	KLC; kinesin light chain	http://www.genome.jp/dbget-bin/www_bget?ko:K10407	ko04814;ko05010;ko05012;ko05014;ko05016;ko05020;ko05022;ko05132
LOC127970158	K18753	ZFP36L; butyrate response factor	http://www.genome.jp/dbget-bin/www_bget?ko:K18753	ko04218
LOC127970161	K18644	EIF4EBP2; eukaryotic translation initiation factor 4E binding protein 2	http://www.genome.jp/dbget-bin/www_bget?ko:K18644	ko04213
LOC127970164	K15291	RIMS1, RIM1; regulating synaptic membrane exocytosis protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K15291	ko04721;ko04723
LOC127970170	K13862	SLC4A11, BTR1; solute carrier family 4 (sodium borate transporter), member 11	http://www.genome.jp/dbget-bin/www_bget?ko:K13862	_
LOC127970173	K20283	GOLGA4; golgin subfamily A member 4	http://www.genome.jp/dbget-bin/www_bget?ko:K20283	_
LOC127970174	K17964	LRPPRC; leucine-rich PPR motif-containing protein, mitochondrial	http://www.genome.jp/dbget-bin/www_bget?ko:K17964	_
LOC127970183	K00512	CYP17A; steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32]	http://www.genome.jp/dbget-bin/www_bget?ko:K00512	ko00140;ko01100;ko04913;ko04917;ko04927;ko04934
LOC127970184	K24775	WBP1; WW domain-binding protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K24775	_
LOC127970186	K02183	CALM; calmodulin	http://www.genome.jp/dbget-bin/www_bget?ko:K02183	ko04014;ko04015;ko04016;ko04020;ko04022;ko04024;ko04070;ko04114;ko04218;ko04261;ko04270;ko04371;ko04625;ko04626;ko04713;ko04720;ko04722;ko04728;ko04740;ko04744;ko04745;ko04750;ko04910;ko04912;ko04915;ko04916;ko04921;ko04922;ko04924;ko04925;ko04970;ko04971;ko05010;ko05012;ko05022;ko05031;ko05034;ko05133;ko05152;ko05163;ko05167;ko05170;ko05200;ko05214;ko05417;ko05418
LOC127970194	K01265	map; methionyl aminopeptidase [EC:3.4.11.18]	http://www.genome.jp/dbget-bin/www_bget?ko:K01265	_
LOC127970195	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K00121	ko00010;ko00071;ko00350;ko00620;ko00625;ko00626;ko00680;ko00830;ko00980;ko00982;ko01100;ko01110;ko01120;ko01200;ko01220;ko04936
LOC127970196	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K00121	ko00010;ko00071;ko00350;ko00620;ko00625;ko00626;ko00680;ko00830;ko00980;ko00982;ko01100;ko01110;ko01120;ko01200;ko01220;ko04936
LOC127970206	K14697	SLC30A10, ZNT10; solute carrier family 30 (zinc transporter), member 10	http://www.genome.jp/dbget-bin/www_bget?ko:K14697	_
LOC127970213	K13198	KHDRBS1; KH domain-containing, RNA-binding, signal transduction-associated protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K13198	_
LOC127970215	K15615	SIX4; homeobox protein SIX4	http://www.genome.jp/dbget-bin/www_bget?ko:K15615	ko05202
LOC127970216	K15429	TRM5, TRMT5; tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	http://www.genome.jp/dbget-bin/www_bget?ko:K15429	_
LOC127970217	K14993	SLC38A6, SNAT6; solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 6	http://www.genome.jp/dbget-bin/www_bget?ko:K14993	_
LOC127970218	K10842	MNAT1; CDK-activating kinase assembly factor MAT1	http://www.genome.jp/dbget-bin/www_bget?ko:K10842	ko03022;ko03420
